Vernier Format 2
biela-manivela-20Hz-22-05-2024.cmbl 22/04/2025 11:31:55 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

6.15	-32.2013246993	-5.02266973633	-3.88928308645	0.3469445	0.278592222222	-0.354009876543
6.2	-32.4631240871	-5.22629148233	-3.37214849191	0.3606645	0.255439722222	-0.662339351852
6.25	-32.7249234749	-5.39112813378	-1.80997107509	0.373184	0.214756111111	-1.0031162037
6.3	-33.0041761552	-5.46869832267	0.942693267747	0.383131	0.152539722222	-1.27418148148
6.35	-33.2834288355	-5.31355794489	3.76538625333	0.388962	0.0786041666667	-1.36056666667
6.4	-33.5452282233	-4.97418836844	4.24481311691	0.390677	0.00933722222222	-1.28900246914
6.45	-33.7721210261	-4.78026289606	2.4510025008	0.3894765	-0.0512594444444	-1.17874490741
6.5	-34.0164671214	-4.7317815275	0.366303672562	0.3853605	-0.106711111111	-1.09712361111
6.55	-34.2433599241	-4.76087034833	-1.43828058846	0.378672	-0.158923333333	-1.05244891975
6.6	-34.4877060194	-4.89661817939	-2.69879615978	0.3695825	-0.212183611111	-0.994594135802
6.65	-34.7320521147	-5.06145483094	-3.30750666809	0.357406	-0.262680833333	-0.841143981481
6.7	-34.9938515025	-5.235987756	-3.74383897994	0.3428285	-0.301554166667	-0.565156018519
6.75	-35.2556508903	-5.42021695467	-4.49799359583	0.326536	-0.323182222222	-0.176740277778
6.8	-35.5349035706	-5.65292752156	-5.62922552074	0.309729	-0.323658611111	0.337336265432
6.85	-35.8141562509	-6.00199337222	-5.87701918056	0.293265	-0.297266666667	1.01216759259
6.9	-36.1283155163	-6.41893313806	-2.57489932812	0.278173	-0.227618611111	1.75104675926
6.95	-36.4773813667	-6.40923686411	3.44217713577	0.268226	-0.110522222222	2.2210308642
7	-36.791540632	-5.95351200417	7.12676111123	0.2666825	0.0180075	2.19636450617
7.05	-37.0707933124	-5.48809087044	6.51266378565	0.271313	0.123003611111	1.84230169753
7.1	-37.3325927002	-5.1875063875	3.19977029769	0.2800595	0.202751111111	1.42085632716
7.15	-37.5769387954	-5.15841756667	-0.544068690494	0.292236	0.263347777778	1.01576697531
7.2	-37.8387381832	-5.34264676622	-2.49948387083	0.3071565	0.304221944444	0.616606018519
7.25	-38.1179908636	-5.44930577611	-3.54452668769	0.323449	0.325278333333	0.207546759259
7.3	-38.3797902514	-5.65292752156	-4.96125999781	0.3404275	0.326326388889	-0.239623611111
7.35	-38.6764962242	-5.97290455078	-5.3706582217	0.3568915	0.304793611111	-0.752747376543
7.4	-38.973202197	-6.331666675	-2.79037207895	0.372155	0.253057777778	-1.27926296296
7.45	-39.3222680474	-6.40923686439	2.85501389704	0.3836455	0.169880277778	-1.63644876543
7.5	-39.6364273128	-6.02138591944	7.90246300161	0.389648	0.0748883333333	-1.68133518519
7.55	-39.9331332856	-5.43960950206	9.23300721534	0.3905055	-0.00886083333333	-1.48622746914
7.6	-40.1774793809	-4.90631445306	6.51805060256	0.387933	-0.0747930555556	-1.24062253086
7.65	-40.4043721837	-4.75117407472	2.63415433509	0.3826165	-0.129387222222	-1.05927716049
7.7	-40.6487182789	-4.72208525389	-0.0430945519449	0.3747275	-0.177216666667	-0.956641820988
7.75	-40.8756110817	-4.77056662244	-2.24091657256	0.3647805	-0.222187777778	-0.90593287037
7.8	-41.119957177	-4.94509954761	-4.09398219429	0.3527755	-0.270017222222	-0.796469290123
7.85	-41.3643032723	-5.22629148239	-4.95587318111	0.337512	-0.309938611111	-0.508465740741
7.9	-41.6435559526	-5.50748341717	-4.48721995741	0.3208765	-0.328613055556	-0.0355174382716
7.95	-41.9228086329	-5.66262379511	-3.78154671302	0.303555	-0.319085277778	0.576536419753
8	-42.2020613132	-5.90503063589	-2.3217188508	0.2876055	-0.2744	1.24798009259
8.05	-42.5162205786	-6.04077846644	1.65914015404	0.2744	-0.190650833333	1.80906033951
8.1	-42.8303798439	-5.73049771039	5.34372412815	0.267197	-0.0780325	2.02999891975
8.15	-43.0921792317	-5.33295049217	5.82853780694	0.2670255	0.0287738888889	1.88507083333
8.2	-43.3539786195	-5.08084737822	4.71885315954	0.27097	0.116810555556	1.55948549383
8.25	-43.5983247148	-4.88692190594	3.68997079404	0.2793735	0.186458611111	1.16921712963
8.3	-43.8426708101	-4.72208525439	2.7849852596	0.290521	0.233811666667	0.778048919753
8.35	-44.0695636129	-4.58633742328	1.48676195923	0.303555	0.261728055556	0.443782716049
8.4	-44.2964564156	-4.55724860228	-0.188538651698	0.317275	0.274685833333	0.183833179012
8.45	-44.5233492184	-4.59603369672	-2.02544382287	0.331338	0.278211111111	-0.036099691358
8.5	-44.7502420211	-4.76087034828	-3.6899707966	0.345401	0.272494444444	-0.283504320988
8.55	-44.9945881164	-5.02266973633	-4.12630310994	0.359121	0.2529625	-0.590881018519
8.6	-45.2563875042	-5.22629148239	-3.28057257636	0.371469	0.214851388889	-0.920595061728
8.65	-45.518186892	-5.38143186033	-1.57295105549	0.381416	0.158161111111	-1.18573194444
8.7	-45.7974395723	-5.43960950233	1.0181087308	0.3877615	0.0900375	-1.31705648148
8.75	-46.0766922527	-5.235987756	2.55335205651	0.390334	0.0217233333333	-1.33923503086
8.8	-46.3210383479	-5.03236600967	1.2389682966	0.3898195	-0.0447805555556	-1.32377885802
8.85	-46.5653844432	-5.08084737806	-0.872664626975	0.385875	-0.110903333333	-1.28984938272
8.9	-46.827183831	-5.1972026615	-1.78303698259	0.378672	-0.175215833333	-1.21696188272
8.95	-47.0889832188	-5.27477285044	-2.25707702583	0.3682105	-0.235240833333	-1.07849151235
9	-47.3507826066	-5.41052068106	-2.90349526781	0.3548335	-0.286881388889	-0.847760493827
9.05	-47.6300352869	-5.565661059	-3.68458397821	0.338884	-0.323468055556	-0.517305401235
9.1	-47.9092879672	-5.72080143733	-5.33833731157	0.3219055	-0.343381111111	-0.0486975308642
9.15	-48.1885406476	-6.11834865561	-6.2110019354	0.3037265	-0.338331388889	0.638202314815
9.2	-48.5201532054	-6.50619960028	-3.72229170846	0.2862335	-0.288596388889	1.48188703704
9.25	-48.8517657633	-6.62255488411	1.40057285302	0.272342	-0.183981388889	2.16465817901
9.3	-49.2008316137	-6.35105922294	6.25948330376	0.266511	-0.0496397222222	2.36273009259
9.35	-49.4975375866	-5.83715672089	7.92939709787	0.2680545	0.0735544444444	2.0839367284
9.4	-49.7767902669	-5.43960950206	6.87896745639	0.2752575	0.166736111111	1.58536929012
9.45	-50.0385896547	-5.1196324725	4.75656089673	0.2858905	0.230762777778	1.08383765432
9.5	-50.28293575	-4.94509954694	2.02544382488	0.2992675	0.270874722222	0.671126080247
9.55	-50.5272818452	-4.91601072611	-0.872664628642	0.3136735	0.293265	0.358509104938
9.6	-50.7716279405	-5.00327718917	-4.18017129769	0.328937	0.304888888889	0.0815154320988
9.65	-51.0159740358	-5.33295049228	-7.08366656321	0.3445435	0.304603055556	-0.264342901235
9.7	-51.2952267161	-5.84685299428	-7.05134564935	0.36015	0.284404166667	-0.72929845679
9.75	-51.6093859815	-6.18622257083	-3.83002807864	0.374213	0.234859722222	-1.24432777778
9.8	-51.9235452468	-6.29288158056	0.764928252531	0.3850175	0.154635833333	-1.63173780864
9.85	-52.2551578047	-6.06017101378	4.3740967662	0.390334	0.0589769444444	-1.74358333333
9.9	-52.534410485	-5.70140888972	4.95048636411	0.3905055	-0.0301077777778	-1.61686388889
9.95	-52.8136631653	-5.52687596489	4.32561539904	0.3867325	-0.106044166667	-1.3934904321
10	-53.0929158457	-5.27477285044	3.3290539463	0.379358	-0.168641666667	-1.17556898148
10.05	-53.3372619409	-5.12932874578	0.985787818117	0.369411	-0.220472777778	-1.01544938272
10.1	-53.5990613287	-5.13902501978	-2.09547246861	0.3572345	-0.268492777778	-0.877296604938
10.15	-53.843407424	-5.33295049228	-5.21444048293	0.3424855	-0.312034722222	-0.642860339506
10.2	-54.1226601043	-5.73049771094	-6.81432562877	0.325507	-0.341285	-0.206117592593
10.25	-54.4193660772	-6.09895610839	-6.38338013312	0.307328	-0.343190555556	0.471148611111
10.3	-54.7335253425	-6.42862941139	-4.1693976583	0.289492	-0.302506944444	1.30901080247
10.35	-55.0651379004	-6.63225115772	0.538681865556	0.274743	-0.209039444444	2.0407970679
10.4	-55.4142037508	-6.44802195906	6.41570104611	0.266854	-0.0784136111111	2.33065324074
10.45	-55.7283630162	-5.88563808889	9.9009727338	0.267197	0.0482105555556	2.09828132716
10.5	-56.0076156965	-5.22629148244	8.64584398302	0.273371	0.141106388889	1.6165462963
10.55	-56.2345084993	-4.87722563172	4.29868130772	0.2824605	0.205895277778	1.16747037037
10.6	-56.4788545945	-4.86752935806	0.883438260833	0.2944655	0.253915277778	0.795093055556
10.65	-56.7232006898	-4.88692190578	-0.716446887932	0.3085285	0.284594722222	0.457386265432
10.7	-56.9675467851	-4.935403274	-2.09008564796	0.3236205	0.298600555556	0.143445987654
10.75	-57.2118928804	-5.08084737822	-3.59839487556	0.338884	0.298600555556	-0.171235339506
10.8	-57.4736922682	-5.29416539772	-4.89661817654	0.353976	0.284118333333	-0.538425308642
10.85	-57.735491656	-5.61414242706	-4.88045772228	0.3682105	0.247436388889	-0.950448765432
